74,Just Dance 3,Wii,2011,Misc,Ubisoft,5.66,3.19,0.00,0.98,9.83
98,Grand Theft Auto IV,PS3,2008,Action,Take-Two Interactive,4.43,3.18,0.40,1.74,9.74
92,Final Fantasy VII,PS,1997,Role-Playing,Sony Computer Entertainment,3.01,2.47,3.28,0.96,9.72
93,Gran Turismo 2,PS,1999,Racing,Sony Computer Entertainment,3.88,3.42,1.69,0.50,9.49
91,Halo: Reach,X360,2010,Shooter,Microsoft Game Studios,6.71,1.38,0.08,1.27,9.43
74,Just Dance 2,Wii,2010,Misc,Ubisoft,5.70,0.85,0.01,2.85,9.41
77,Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.00,0.23,9.30
94,Call of Duty 4: Modern Warfare,X360,2007,Shooter,Activision,5.63,2.17,0.13,0.97,8.90
90,Super Mario Kart,SNES,1992,Racing,Nintendo,3.54,1.24,3.81,0.18,8.76
72,Mario Party DS,DS,2007,Misc,Nintendo,4.29,1.70,1.98,0.76,8.73
95,Halo 2,XB,2004,Shooter,Microsoft Game Studios,6.82,1.53,0.05,0.08,8.49
90,Super Mario 3D Land,3DS,2011,Platform,Nintendo,3.80,2.22,1.87,0.56,8.45
87,Halo 4,X360,2012,Shooter,Microsoft Game Studios,5.67,1.83,0.04,0.76,8.31
68,Wii Party,Wii,2010,Misc,Nintendo,1.68,1.49,2.47,2.49,8.13
96,GoldenEye 007,N64,1997,Shooter,Nintendo,5.80,2.01,0.13,0.15,8.09
85,Final Fantasy X,PS2,2001,Role-Playing,Sony Computer Entertainment,2.91,2.07,2.73,0.33,8.05
89,Myst,PC,1994,Adventure,Broderbund,4.91,2.79,0.00,0.33,8.03
85,Mario Kart 7,3DS,2011,Racing,Nintendo,3.06,2.34,2.08,0.51,7.99
62,Mario Party 8,Wii,2007,Misc,Nintendo,3.69,1.91,1.58,0.73,7.92
70,Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,2.55,3.74,0.66,0.93,7.88
90,Final Fantasy VIII,PS,1999,Role-Playing,SquareSoft,2.28,1.72,3.63,0.23,7.86
45,Pac-Man,2600,1982,Puzzle,Atari,7.28,0.45,0.00,0.08,7.81
99,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.10,1.89,1.45,0.16,7.60
86,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,2.17,1.31,0.31,7.58
83,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.69,1.59,2.69,0.57,7.54
88,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.85,2.61,0.24,1.79,7.49
78,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,1.18,0.70,0.19,7.46
96,The Elder Scrolls V: Skyrim,X360,2011,Role-Playing,Bethesda Softworks,4.00,2.42,0.09,0.72,7.24
85,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,2.83,0.08,1.02,7.20
96,Tekken 3,PS,1998,Fighting,Namco Bandai Games,3.27,2.22,1.40,0.29,7.16
91,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,1.75,1.42,0.28,7.13
92,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,1.04,1.39,0.22,7.07
97,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.38,1.46,0.98,1.22,7.04
74,Just Dance,Wii,2009,Misc,Ubisoft,3.35,2.29,0.00,1.37,7.00
87,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,1.77,0.87,0.19,6.95
84,Call of Duty: World at War,X360,2008,Shooter,Activision,4.50,1.69,0.00,0.75,6.94
82,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,3.02,0.08,1.09,6.90
84,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.12,2.00,0.05,0.67,6.84
88,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,2.75,0.17,0.99,6.83
91,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,2.35,0.94,0.30,6.82
95,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.57,1.91,0.60,0.71,6.79
80,Pokemon Black / White Version 2,DS,2012,Role-Playing,Nintendo,2.12,1.17,2.99,0.37,6.65
93,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.05,1.82,0.06,0.70,6.63
70,Big Brain Academy,DS,2005,Misc,Nintendo,1.65,2.69,1.60,0.62,6.56
88,FIFA Soccer 13,PS3,2012,Action,Electronic Arts,0.90,4.09,0.09,1.44,6.51
84,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51
97,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.30,0.08,0.07,6.43
85,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.56,2.50,0.31,1.05,6.42
78,Zumba Fitness,Wii,2010,Sports,505 Games,3.25,1.65,0.00,1.51,6.41
76,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,1.58,2.06,0.21,6.41
66,Just Dance 4,Wii,2012,Misc,Ubisoft,3.60,2.15,0.00,0.65,6.39
84,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,1.56,1.29,0.99,6.39
90,FIFA Soccer 12,PS3,2011,Sports,Electronic Arts,0.78,3.22,0.11,2.25,6.37
94,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,2.93,2.03,0.28,1.07,6.32
92,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,1.26,0.87,0.17,6.31
92,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,0.83,2.87,0.12,6.30
79,Driver,PS,1999,Action,GT Interactive,3.11,2.80,0.02,0.33,6.27
96,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.08,1.70,0.21,1.20,6.18
83,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.20,1.26,0.06,0.63,6.16
93,World of Warcraft,PC,2004,Role-Playing,Activision,3.96,2.18,0.00,0.00,6.14
78,New Super Mario Bros. 2,3DS,2012,Platform,Nintendo,2.11,1.54,2.05,0.34,6.05
96,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05
80,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,1.20,0.16,0.19,6.03
94,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,1.83,0.78,0.24,6.03
79,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.49,1.84,0.07,0.60,6.00
87,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,2.88,0.32,1.03,1.74,5.97
92,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,1.19,2.33,0.54,5.95
91,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,3.79,1.16,0.07,0.88,5.90
92,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.49,2.26,0.19,0.96,5.89
85,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,1.20,0.94,0.07,5.85
89,Resident Evil 2,PS,1998,Action,Virgin Interactive,1.88,1.47,2.02,0.45,5.82
94,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.56,1.57,0.83,0.82,5.77
89,Tekken 2,PS,1996,Fighting,Namco Bandai Games,2.26,1.89,1.36,0.23,5.74
87,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.56,0.40,4.35,0.38,5.68
66,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.51,0.68,0.03,1.39,5.61
89,Tetris,NES,1988,Puzzle,Nintendo,2.97,0.69,1.81,0.11,5.58
95,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.24,1.44,0.09,0.80,5.56
79,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,0.60,1.97,0.04,5.55
82,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,1.24,0.91,0.20,5.49
67,Cooking Mama,DS,2006,Simulation,505 Games,2.95,1.81,0.07,0.65,5.48
93,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.99,0.23,5.47
92,Super Mario World,GBA,2001,Platform,Nintendo,3.21,1.11,0.95,0.20,5.46
95,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.39,1.69,0.17,1.20,5.46
72,Pokémon Stadium,N64,1999,Strategy,Nintendo,3.18,1.24,0.94,0.09,5.45
66,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2.07,2.29,0.24,0.82,5.42
91,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.32,1.76,0.21,1.11,5.41
92,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.90,1.48,0.10,0.89,5.37
81,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.44,0.42,4.13,0.38,5.36
80,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,0.96,2.00,0.20,5.34
45,Pokémon Pinball,GB,1999,Misc,Nintendo,3.02,1.12,1.01,0.16,5.31
94,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,1.62,0.77,2.78,0.14,5.30
84,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.12,1.51,0.07,0.60,5.30
85,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,1.08,2.11,0.17,5.29
90,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,0.79,1.09,0.06,5.27
85,Tomb Raider II,PS,1997,Adventure,Eidos Interactive,2.30,2.46,0.20,0.28,5.24
94,Madden NFL 2004,PS2,N/A,Sports,Electronic Arts,4.26,0.26,0.01,0.71,5.23
89,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,0.75,3.61,0.20,5.21
90,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,1.25,0.83,0.20,5.20
85,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,0.98,1.57,0.15,5.19
73,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.61,1.50,0.17,0.91,5.19
80,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.10,0.74,2.20,0.11,5.15
68,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,2.23,0.13,0.80,5.13
83,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,0.61,1.70,0.11,5.13
80,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,1.69,0.00,0.20,5.12
92,Guitar Hero II,PS2,2006,Misc,RedOctane,3.81,0.63,0.00,0.68,5.12
90,Assassin's Creed II,X360,2009,Action,Ubisoft,2.89,1.45,0.08,0.68,5.11
