title,year,platform
FIFA Soccer 11,2010,PS3
Madden NFL 06,2005,PS2
Pokémon Mystery Dungeon: Explorers of Time / Darkness,2007,DS
Diddy Kong Racing,1997,N64
Resident Evil 5,2009,PS3
Monster Hunter Freedom 3,N/A,PSP
Dr. Mario,1990,NES
Crash Team Racing,1999,PS
Grand Theft Auto: Vice City Stories,2006,PSP
Driver 2,2000,PS
FIFA Soccer 13,2012,X360
The Simpsons: Hit & Run,2003,PS2
Tony Hawk's Pro Skater 2,2000,PS
The Lord of the Rings: The Two Towers,2002,PS2
Tomb Raider,1996,PS
The Elder Scrolls V: Skyrim,2011,PS3
The Legend of Zelda: A Link to the Past,1991,SNES
The Legend of Zelda: The Wind Waker,2002,GC
Uncharted: Drake's Fortune,2007,PS3
God of War III,2010,PS3
Assassin's Creed,2007,PS3
Guitar Hero III: Legends of Rock,2007,Wii
Assassin's Creed: Brotherhood,2010,X360
Madden NFL 2005,2004,PS2
Pitfall!,1981,2600
Madden NFL 07,2006,PS2
